positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.066,0.046,0.749,815,119,271,334,91
0.066,0.046,0.749,815,119,271,334,91
0.066,0.046,0.749,815,119,271,334,91
0.061,0.023,0.826,33,7,11,10,5
0.058,0.029,0.525,466,60,100,262,44
0.025,0.038,0.624,160,8,11,135,6
0.138,0.006,0.706,20,1,5,14,0
0.066,0.046,0.749,815,119,271,334,91
0.087,0.062,0.76,121,19,46,38,18
0.069,0.041,0.672,429,63,128,184,54
0.052,0.059,0.556,36,3,9,19,5
0.07,0.061,0.737,158,22,50,68,18
0.034,0.022,0.845,378,62,77,217,22
0.062,0.04,0.76,65,11,25,25,4
0.066,0.046,0.749,815,119,271,334,91
0.083,0.067,0.683,60,7,22,23,8
0.064,0.043,0.656,269,50,94,97,28
0.066,0.046,0.749,815,119,271,334,91
0.072,0.062,0.661,347,56,123,131,37
0.039,0.013,0.363,224,24,24,160,16
0.062,0.05,0.691,101,12,29,52,8
0.079,0.03,0.748,112,8,45,45,14
0.048,0.047,0.598,114,13,34,63,4
0.034,0.044,0.706,37,9,10,14,4
0.004,0.021,0.142,30,1,1,28,0
0.025,0.038,0.624,160,8,11,135,6
0.046,0.006,0.375,103,15,20,66,2
0.091,0.103,0.61,51,4,20,19,8
0.081,0.052,0.721,248,26,90,92,40
0.082,0.066,0.74,215,27,71,81,36
0.085,0.065,0.708,346,37,127,138,44
0.004,0.021,0.142,30,1,1,28,0
0.011,0.004,0.279,34,2,5,24,3
0.065,0.042,0.645,821,123,169,405,124
0.097,0.078,0.709,217,31,64,96,26
0.109,0.092,0.689,109,11,35,40,23
0.052,0.046,0.642,165,25,42,84,14
0.022,0.075,0.455,437,26,34,376,1
0.146,0.104,0.583,24,3,6,9,6
0.068,0.05,0.693,942,125,312,403,102
0.059,0.027,0.787,47,5,15,20,7
0.011,0.004,0.279,34,2,5,24,3
0.058,0.034,0.728,189,32,48,95,14
0.019,0.08,0.425,447,15,29,402,1
0.004,0.021,0.142,30,1,1,28,0
0.038,0.054,0.908,23,3,8,5,7
0.067,0.04,0.755,189,20,64,83,22
0.022,0.011,0.391,633,95,78,447,13
0.12,0.069,0.741,189,32,54,76,27
0.043,0.049,0.665,325,38,86,179,22
0.076,0.074,0.657,372,63,117,136,56
0.079,0.05,0.738,166,22,54,82,8
0.081,0.04,0.749,321,39,116,124,42
0.011,0.004,0.279,34,2,5,24,3
0.068,0.044,0.662,601,82,177,284,58
0.038,0.139,0.559,613,3,2,608,0
0.019,0.079,0.425,469,15,30,423,1
0.0,0.0,0.0,37,1,0,36,0
0.099,0.073,0.655,29,3,13,8,5
0.011,0.004,0.279,34,2,5,24,3
0.049,0.061,0.82,43,4,11,24,4
0.081,0.069,0.65,20,1,7,7,5
0.199,0.125,0.676,17,4,6,5,2
0.074,0.075,0.665,161,20,55,59,27
0.006,0.006,0.756,39,5,8,24,2
0.045,0.04,0.379,28,3,0,25,0
0.011,0.004,0.47,33,1,3,28,1
0.068,0.053,0.688,68,10,25,29,4
0.04,0.017,0.852,22,3,8,10,1
0.087,0.087,0.775,20,2,6,10,2
0.0,0.0,0.194,31,1,3,25,2
0.035,0.0,0.605,25,5,7,12,1
0.062,0.059,0.809,301,32,111,120,38
0.029,0.0,0.794,17,1,4,12,0
0.005,0.035,0.32,25,3,5,17,0
0.14,0.038,0.617,49,12,14,18,5
0.019,0.08,0.425,447,15,29,402,1
0.007,0.021,0.229,35,1,2,32,0
0.023,0.0,0.789,32,3,6,23,0
0.067,0.041,0.698,630,94,191,270,75
0.022,0.004,0.83,28,2,7,16,3
0.093,0.046,0.665,138,22,45,45,26
0.02,0.008,0.16,32,2,2,27,1
0.082,0.054,0.758,76,7,27,27,15
0.007,0.014,0.924,18,0,6,8,4
0.004,0.022,0.147,29,2,1,26,0
