positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.085,0.07,0.645,25,4,9,9,3
0.051,0.076,0.748,64,5,18,36,5
0.046,0.048,0.714,52,5,14,27,6
0.031,0.033,0.644,106,6,39,53,8
0.031,0.033,0.644,106,6,39,53,8
0.077,0.068,0.786,187,26,72,57,32
0.084,0.053,0.75,80,6,35,28,11
0.081,0.048,0.691,122,11,39,56,16
0.105,0.039,0.77,105,18,35,35,17
0.022,0.076,0.815,23,6,7,7,3
0.064,0.064,0.667,39,5,16,13,5
0.047,0.046,0.417,222,25,36,145,16
0.099,0.043,0.778,149,20,55,59,15
0.076,0.035,0.736,46,9,13,20,4
0.06,0.062,0.634,168,19,46,84,19
0.101,0.049,0.761,79,10,26,33,10
0.074,0.05,0.708,374,46,121,165,42
0.051,0.035,0.792,74,7,22,35,10
0.074,0.038,0.711,73,10,26,32,5
0.081,0.065,0.79,31,4,14,7,6
0.078,0.028,0.65,730,89,229,321,91
0.028,0.019,0.769,27,3,13,10,1
0.083,0.065,0.851,21,3,6,10,2
0.075,0.041,0.647,439,77,130,198,34
0.034,0.026,0.405,58,5,18,31,4
0.094,0.033,0.808,76,12,25,30,9
0.082,0.046,0.729,126,14,43,44,25
0.059,0.045,0.674,36,3,14,12,7
0.047,0.046,0.417,222,25,36,145,16
0.07,0.031,0.681,381,48,115,184,34
0.04,0.04,0.875,22,2,6,11,3
0.06,0.05,0.723,659,102,209,257,91
0.112,0.054,0.577,39,8,13,14,4
0.045,0.0,0.727,22,2,6,14,0
0.058,0.021,0.851,114,15,42,46,11
0.09,0.036,0.729,97,11,29,44,13
0.047,0.046,0.412,222,25,36,145,16
0.068,0.023,0.864,22,6,6,8,2
0.058,0.076,0.545,28,5,9,11,3
0.006,0.074,0.784,22,3,5,11,3
0.054,0.041,0.83,67,9,19,29,10
0.062,0.036,0.685,69,10,22,31,6
0.044,0.036,0.773,48,4,17,15,12
0.102,0.028,0.757,220,29,59,105,27
0.06,0.06,0.773,65,6,25,26,8
0.057,0.044,0.756,203,26,78,73,26
0.079,0.079,0.642,30,5,8,9,8
0.077,0.032,0.817,203,32,71,75,25
0.091,0.041,0.618,52,11,10,28,3
0.101,0.064,0.686,47,8,12,23,4
0.088,0.074,0.717,107,13,34,46,14
0.06,0.026,0.824,44,9,16,16,3
0.076,0.039,0.818,121,13,48,46,14
0.074,0.047,0.752,165,19,50,75,21
0.083,0.041,0.825,98,11,36,35,16
0.038,0.027,0.451,415,39,75,283,18
0.047,0.046,0.417,222,25,36,145,16
0.043,0.027,0.586,32,4,10,14,4
0.054,0.028,0.804,53,0,22,20,11
0.101,0.059,0.755,47,8,14,18,7
0.082,0.025,0.849,114,9,45,44,16
0.084,0.061,0.72,37,4,12,18,3
0.011,0.0,0.728,23,1,4,11,7
0.039,0.029,0.762,100,9,38,45,8
0.065,0.034,0.599,271,31,81,126,33
0.116,0.057,0.787,198,39,67,64,28
0.081,0.036,0.731,132,10,53,48,21
0.109,0.064,0.673,39,5,17,12,5
0.043,0.033,0.714,38,2,11,18,7
0.072,0.021,0.488,191,34,44,98,15
0.031,0.016,0.766,32,4,14,11,3
0.046,0.049,0.772,90,16,25,42,7
0.072,0.026,0.638,38,3,10,19,6
0.062,0.04,0.534,22,4,2,15,1
0.073,0.009,0.78,29,3,9,16,1
0.081,0.037,0.759,155,22,46,68,19
0.118,0.026,0.697,19,1,9,7,2
0.052,0.055,0.412,231,27,38,149,17
0.079,0.018,0.711,68,7,22,28,11
0.119,0.054,0.78,21,2,6,11,2
0.056,0.049,0.896,18,4,8,6,0
0.046,0.041,0.594,998,124,265,534,75
0.125,0.05,0.665,25,6,8,7,4
0.074,0.045,0.76,91,13,26,36,16
0.082,0.043,0.772,864,132,243,366,123
0.084,0.06,0.744,179,28,58,70,23
0.094,0.07,0.718,102,18,34,38,12
0.089,0.068,0.775,396,47,156,144,49
0.054,0.052,0.807,172,21,57,66,28
0.031,0.033,0.644,106,6,39,53,8
0.026,0.039,0.776,19,1,10,7,1
0.051,0.02,0.824,105,9,31,48,17
0.052,0.036,0.766,569,66,156,292,55
0.061,0.045,0.704,84,14,29,31,10
0.092,0.082,0.747,38,6,18,9,5
0.119,0.08,0.801,44,8,15,13,8
0.028,0.035,0.48,494,65,109,288,32
0.058,0.042,0.419,189,24,28,124,13
0.051,0.047,0.754,61,11,15,23,12
0.041,0.019,0.72,168,28,36,89,15
0.058,0.024,0.694,89,5,15,65,4
0.021,0.047,0.807,24,1,4,18,1
0.025,0.019,0.34,378,63,34,271,10
0.07,0.033,0.817,75,9,27,28,11
0.09,0.029,0.728,156,18,45,72,21
0.09,0.047,0.761,293,39,93,123,38
0.105,0.034,0.751,100,13,34,38,15
0.047,0.045,0.424,223,24,38,144,17
0.059,0.041,0.777,195,22,76,73,24
0.026,0.019,0.353,181,16,25,136,4
0.065,0.035,0.7,25,0,12,10,3
0.092,0.028,0.796,84,15,30,28,11
0.02,0.007,0.868,19,4,5,9,1
0.054,0.061,0.831,37,3,13,14,7
0.097,0.076,0.799,36,5,11,19,1
0.015,0.015,0.853,17,3,5,6,3
0.055,0.054,0.664,461,84,127,200,50
0.055,0.038,0.791,52,4,24,17,7
0.087,0.051,0.722,157,29,43,77,8
0.071,0.045,0.812,28,5,6,11,6
0.053,0.039,0.808,228,22,77,98,31
0.06,0.049,0.774,609,72,225,207,105
0.062,0.039,0.633,723,114,227,301,81
0.101,0.056,0.677,36,4,12,16,4
0.096,0.045,0.752,56,7,19,22,8
0.134,0.073,0.724,29,7,6,13,3
0.082,0.087,0.755,26,6,10,6,4
0.057,0.016,0.76,24,6,2,14,2
0.075,0.011,0.543,35,3,10,18,4
0.071,0.026,0.487,278,32,52,165,29
0.091,0.036,0.818,55,4,21,23,7
0.061,0.039,0.774,398,48,133,150,67
0.071,0.042,0.782,753,89,260,293,111
0.128,0.038,0.556,36,8,9,14,5
0.079,0.051,0.767,804,93,323,291,97
0.078,0.028,0.774,67,6,24,24,13
0.06,0.027,0.566,176,27,33,107,9
0.069,0.042,0.774,174,24,62,66,22
0.057,0.078,0.656,24,3,5,13,3
0.066,0.037,0.792,316,44,106,120,46
0.013,0.025,0.529,30,6,11,9,4
0.08,0.061,0.723,220,45,64,92,19
0.087,0.058,0.625,39,4,10,19,6
0.062,0.034,0.836,132,12,46,54,20
0.056,0.056,0.716,198,30,60,87,21
0.026,0.077,0.769,39,3,15,19,2
0.088,0.045,0.697,47,7,12,22,6
0.125,0.055,0.747,123,27,24,57,15
0.068,0.035,0.836,115,13,44,41,17
0.101,0.093,0.667,137,15,56,52,14
0.035,0.042,0.79,53,7,20,13,13
0.016,0.022,0.266,168,11,17,135,5
0.062,0.055,0.758,16,2,5,6,3
0.067,0.034,0.599,598,82,125,371,20
0.062,0.051,0.715,93,21,26,34,12
0.044,0.045,0.707,231,28,78,91,34
0.087,0.05,0.802,50,6,20,16,8
0.05,0.036,0.411,189,20,26,128,15
0.054,0.053,0.757,177,13,66,74,24
0.083,0.069,0.699,27,6,9,10,2
0.022,0.0,0.761,23,1,7,12,3
0.175,0.092,0.68,57,14,13,20,10
0.076,0.068,0.757,425,67,148,154,56
0.079,0.048,0.788,378,44,153,133,48
0.065,0.044,0.891,48,8,13,22,5
0.011,0.004,0.3,35,2,5,25,3
0.096,0.048,0.772,96,19,36,26,15
0.048,0.05,0.782,75,8,29,28,10
0.101,0.039,0.716,97,11,34,38,14
0.077,0.045,0.714,55,6,23,18,8
0.056,0.037,0.5,27,3,3,20,1
0.007,0.004,0.161,35,3,2,27,3
0.101,0.047,0.676,267,35,95,95,42
0.08,0.035,0.705,50,4,16,23,7
0.004,0.0,0.254,35,2,4,26,3
0.051,0.031,0.836,61,4,27,30,0
0.1,0.054,0.756,244,29,86,91,38
0.064,0.027,0.837,153,20,51,53,29
0.011,0.004,0.3,35,2,5,25,3
0.118,0.079,0.632,35,6,15,8,6
0.056,0.086,0.599,58,3,18,31,6
0.074,0.048,0.754,136,21,44,48,23
0.077,0.044,0.705,679,79,198,324,78
0.076,0.117,0.595,33,7,9,12,5
0.065,0.006,0.643,21,1,5,15,0
0.082,0.038,0.75,23,5,6,9,3
0.044,0.034,0.738,174,28,46,78,22
0.041,0.035,0.393,353,54,46,236,17
0.004,0.0,0.254,35,2,4,26,3
0.048,0.035,0.702,65,5,15,40,5
0.038,0.038,0.846,26,3,6,13,4
0.05,0.037,0.83,109,7,41,42,19
0.059,0.051,0.769,66,8,20,24,14
0.049,0.022,0.755,23,2,9,11,1
0.109,0.046,0.78,46,3,23,19,1
0.055,0.037,0.732,57,4,21,18,14
0.053,0.035,0.726,851,143,272,338,98
0.122,0.036,0.789,38,4,15,14,5
0.06,0.042,0.806,218,28,75,89,26
0.07,0.021,0.762,41,3,14,18,6
0.107,0.064,0.686,35,4,13,13,5
0.047,0.062,0.766,16,2,7,5,2
0.085,0.04,0.734,78,6,27,31,14
0.056,0.031,0.662,20,3,6,10,1
0.082,0.04,0.806,110,13,41,39,17
0.079,0.026,0.85,112,8,46,42,16
0.062,0.02,0.756,111,11,35,52,13
0.011,0.004,0.279,34,2,5,24,3
0.034,0.029,0.465,191,50,47,77,17
0.115,0.068,0.609,24,4,9,11,0
0.075,0.056,0.738,107,10,36,47,14
0.057,0.041,0.368,161,21,20,105,15
0.054,0.033,0.789,121,15,43,50,13
0.037,0.098,0.676,37,7,10,20,0
0.052,0.057,0.409,230,29,36,149,16
0.068,0.014,0.827,44,4,12,23,5
0.035,0.007,0.847,18,1,7,7,3
0.069,0.082,0.711,29,5,11,8,5
0.052,0.045,0.601,374,64,77,199,34
0.059,0.021,0.637,53,6,22,22,3
0.116,0.04,0.737,176,22,73,48,33
0.047,0.046,0.412,222,25,36,145,16
0.083,0.045,0.813,101,19,28,43,11
0.087,0.067,0.788,69,10,22,33,4
0.057,0.041,0.757,55,5,27,13,10
0.105,0.072,0.77,19,3,7,7,2
0.051,0.012,0.719,32,1,9,22,0
0.084,0.054,0.72,91,9,34,32,16
0.014,0.042,0.596,69,9,24,26,10
0.034,0.03,0.591,29,4,6,15,4
0.071,0.099,0.761,321,43,110,124,44
0.065,0.041,0.817,512,62,167,227,56
0.025,0.018,0.425,241,38,32,164,7
0.084,0.037,0.787,77,11,21,36,9
0.097,0.046,0.741,95,14,31,37,13
0.07,0.052,0.783,313,37,109,113,54
0.103,0.076,0.755,273,33,109,97,34
0.025,0.025,0.75,25,4,6,15,0
0.091,0.056,0.73,212,30,76,78,28
0.072,0.0,0.822,19,3,4,11,1
0.055,0.036,0.805,48,2,14,26,6
0.04,0.022,0.723,28,1,10,13,4
0.076,0.067,0.686,41,6,10,19,6
0.086,0.029,0.843,95,8,35,36,16
0.096,0.07,0.721,140,22,45,60,13
0.017,0.021,0.656,36,3,9,22,2
0.098,0.063,0.769,474,82,142,192,58
0.011,0.004,0.3,35,2,5,25,3
0.014,0.02,0.297,269,10,18,239,2
0.027,0.048,0.723,84,10,23,48,3
0.011,0.004,0.271,35,3,5,24,3
0.032,0.023,0.65,115,12,41,56,6
0.075,0.038,0.656,104,13,26,55,10
0.021,0.013,0.416,100,7,18,75,0
0.056,0.032,0.664,919,120,254,392,153
0.05,0.034,0.603,612,66,138,350,58
0.069,0.038,0.798,243,37,64,115,27
0.118,0.044,0.703,37,6,10,16,5
0.081,0.048,0.72,662,95,232,242,93
0.068,0.021,0.703,48,2,25,13,8
0.075,0.014,0.849,97,8,30,47,12
0.056,0.043,0.556,333,30,72,215,16
